id,c_sti,c_raj,t_sti,name,name_raj
681,2411,5,6,КЕЛЬМЕНЕЦЬКЕ ВIДД. ХОТИН. OДПI ГУ МIНДОХ. У ЧЕРН. ОБЛ.,КЕЛЬМЕНЕЦЬКИЙ Р-Н
682,2409,50,6,НОВОДНIСТРОВСЬКЕ ВIДД. СОКИР. ОДПI ГУ МIНД. У ЧЕРН.ОБЛ,М.НОВОДНIСТРОВСЬК
683,2406,6,6,КIЦМАНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,КIЦМАНСЬКИЙ Р-Н
684,2412,63,2,ДПI У М.ЧЕРНIВЦI,ЛЕНIНСЬКИЙ Р-Н М.ЧЕРНIВЦI
685,2412,66,2,ДПI У М.ЧЕРНIВЦI,ПЕРШОТРАВНЕВИЙ Р-Н М.ЧЕРНIВЦI
686,2412,69,2,ДПI У М.ЧЕРНIВЦI,САДГIРСЬКИЙ Р-Н М.ЧЕРНIВЦI
687,2407,7,6,НОВОСЕЛИЦЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,НОВОСЕЛИЦЬКИЙ Р-Н
688,2499,70,14,ЧЕРНIВЕЦЬКА МИТНИЦЯ МIНДОХОДIВ,ЧЕРНIВЕЦЬКА ОБЛАСТЬ
689,2408,8,2,ДПI У ПУТИЛЬСЬКОМУ Р-НI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,ПУТИЛЬСЬКИЙ Р-Н
690,2409,9,6,СОКИРЯНСЬКА ОДПI ГУ МIНДОХОДIВ У ЧЕРНIВ. ОБЛ.,СОКИРЯНСЬКИЙ Р-Н
691,2448,97,12,ОПЕРАТИВНЕ УПРАВЛIННЯ,ЧЕРНIВЕЦЬКА ОБЛАСТЬ
692,2449,98,10,РУ ДЕПАРТАМЕНТУ САТ ДПС УКРАЇНИ В ЧЕРНIВ. ОБЛ.,ЧЕРНIВЕЦЬКА ОБЛАСТЬ
693,2501,1,1,ГУ ДФС У ЧЕРНIГIВСЬКIЙ ОБЛАСТI,ЧЕРНIГIВСЬКА ОБЛАСТЬ
